TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,ProdTaken,age,duration
Self Enquiry,2,Small Business,Male,2.0,4.0,Super Deluxe,3.0,5,0,4,AVP,413325.0,"結婚済み,車所持、子供1人",0,49,1620.0
Self Enquiry,2,Small Business,Female,3.0,4.0,Basic,4.0,5,0,3,Executiѵe,343140.0,離婚済み　乗用車所持　子供2人,1,26,720.0
Company Invited,3,Small Business,FE MALE,2.0,5.0,Deluxe,3.0,3,0,3,Manager,324330.0,未婚 車未所持 子供有り 1人,0,29,2040.0
Self Enquiry,2,Small Business,male,2.0,4.0,deluxe,3.0,3,0,3,Manager,319710.0,結婚済み、車未所持、子供有り 1人,0,27,1740.0
Self Enquiry,2,Large Business,Male,3.0,4.0,Basic,4.0,7,0,4,Senior Manager,370425.0,"未婚、自動車所有,こども2人",0,27,960.0
Company Invited,2,Small Business,male,2.0,5.0,Basic,4.0,年に3回,0,3,Executive,313380.0,結婚済み、車未所持、こども1人,1,24,1020.0
Self Enquiry,2,Small Business,Female,3.0,4.0,deluxe,3.0,1,0,5,Senior Manager,月収33.0万円,独身 自動車所有　こども2人,0,30,540.0
Self Enquiry,2,Small Business,Male,2.0,4.0,deluxe,3.0,3,0,3,Manager,354840.0,未婚、自家用車なし、こども1人,0,43,480.0
Self Enquiry,2,Small Business,Ｍａｌｅ,2.0,4.0,Deluxe,3.0,3,0,4,Manager,326010.0,"未婚,自動車未所有,子供1人",0,31,1560.0
Self Enquiry,3,Small Business,Male,2.0,4.0,Βası𝘤,3.0,2,0,4,Executive,月収30.0万円,離婚済み、自動車所有、子供1人,1,20,540.0
Company Invited,2,Small Business,Male,3.0,4.0,Basic,3.0,2,0,4,Executive,331815.0,未婚、自動車未所有、子供有り(2人),0,25,960.0
Self Enquiry,2,Small Business,female,3.0,4.0,Deluxe,3.0,年に2回,0,3,Manager,386100.0,"離婚済み,車未所持,子供2人",0,40,420.0
Self Enquiry,2,Small Business,Male,2.0,4.0,Basic,3.0,2,0,3,Executive,342165.0,未婚　車保有なし　子供1人,0,22,600.0
Self Enquiry,2,Salaried,Female,3.0,4.0,Standard,3.0,2,0,3,Senior Manager,416100.0,"結婚済み、乗用車なし,2児",0,40,420.0
Self Enquiry,2,Salaried,male,2.0,4.0,Deluxe,3.0,2,0,3,Manager,339720.0,"結婚済み、車所持,子供有り 1人",0,43,420.0
Self Enquiry,2,Salaried,female,2.0,4.0,Basic,4.0,2,0,3,Executive,306300.0,未婚、車所持、子供1人,0,22,840.0
Self Enquiry,2,Salaried,Male,2.0,4.0,Standard,3.0,5,0,3,Senior Manager,360615.0,"結婚済み、車未所持,こども1人",0,40,540.0
Self Enquiry,3,Salaried,Male,2.0,4.0,Standard,3.0,5,0,3,Senior Manager,月収49.0万円,未婚/自動車未所有/子供1人,1,39,540.0
Company Invited,3,Salaried,Fe Male,3.0,4.0,Deluxe,3.0,2,0,4,Manager,330870.0,未婚、車所持、子供2人,0,30,720.0
Company Invited,3,Salaried,male,3.0,4.0,DELUXE,4.0,7,0,4,Manager,342900.0,未婚、車未所持、子供2人,0,39,420.0
Self Enquiry,2,Salaried,Ｆｅｍａｌｅ,2.0,5.0,Deluxe,3.0,5,0,3,Manager,350145.0,離婚済み、自家用車なし、子供1人,0,54,2100.0
Self Enquiry,2,Salaried,male,2.0,4.0,Deluxe,3.0,1,0,3,Manager,303615.0,結婚済み、車所持、こども1人,0,49,720.0
Self Enquiry,2,Salaried,Male,3.0,4.0,deluxe,3.0,年に2回,0,3,Manager,月収45.0万円,離婚済み、乗用車所持、こども2人,0,41,840.0
Company Invited,2,Salaried,Male,2.0,4.0,Deluxe,3.0,半年に1回,0,3,Manager,328080.0,未婚、車あり、子供1人,0,43,420.0
Self Enquiry,2,Salaried,male,2.0,4.0,Deluxe,3.0,5,0,4,Manager,322875.0,離婚済み　車所持　1児,0,43,420.0
Self Enquiry,2,Salaried,Male,2.0,4.0,Basic,3.0,年に1回,0,3,Executive,259500.0,独身、自動車未所有、子供1人,0,36,600.0
Self Enquiry,2,Salaried,male,2.0,4.0,King,4.0,3,0,4,Manager,404115.0,結婚済み、車未所持、子供1人,0,52,660.0
Company Invited,2,Small Business,Female,2.0,4.0,Basic,4.0,2,1,3,Е×еcutive,319200.0,離婚済み／自動車所有/子供1人,0,26,960.0
Self Enquiry,2,Salaried,ＭＡＬＥ,2.0,4.0,Deluxe,3.0,年に5回,1,4,Manager,351855.0,未婚、車未所持、子供1人,0,38,1320.0
Company Invited,3,Small Business,Female,2.0,5.0,Deluxe,3.0,2,0,3,Manager,318075.0,離婚済み、自家用車なし、子供1人,0,35,960.0
Self Enquiry,1,Large Business,Male,3.0,4.0,basic,3.0,2,0,4,Executive,490620.0,結婚済み　自家用車なし　2児,0,38,540.0
Company Invited,1,Small Business,Male,2.0,4.0,Super Deluxe,4.0,1,0,4,AVP,454395.0,"離婚済み,車所持,子供1人",0,59,1020.0
Self Enquiry,1,Large Business,Male,2.0,4.0,Super Deluxe,4.0,2,0,3,AVP,月収54.0万円,未婚、車保有、こども1人,0,52,1980.0
Self Enquiry,1,Small Business,ｆｅｍａｌｅ,3.0,4.0,Standard,3.0,2,0,4,Senior Manager,383475.0,離婚済み、車未所持、子供2人,0,43,480.0
Self Enquiry,1,Small Business,Female,2.0,5.0,King,3.0,年に2回,0,4,VP,541815.0,結婚済み 自動車所有 子供有り 1人,0,41,840.0
Self Enquiry,1,Large Business,Male,3.0,5.0,Βasic,3.0,5,0,4,Executive,月収30.0万円,"結婚済み,自動車未所有,子供有り 2人",0,44,900.0
Company Invited,1,Small Business,Male,2.0,5.0,Basic,3.0,2,0,4,Executive,255045.0,独身、車未所持、こども1人,1,24,780.0
Self Enquiry,1,Small Business,Male,2.0,5.0,Basic,3.0,3,0,4,Executive,267540.0,結婚済み 自動車未所有　こども1人,1,40,900.0
Self Enquiry,1,Small Business,Male,2.0,5.0,Standard,3.0,2,0,3,Senior Manager,月収40.0万円,"未婚,自家用車なし,こども1人",0,31,480.0
Self Enquiry,1,Small Business,male,2.0,4.0,Basic,3.0,8,0,3,Executive,318240.0,独身、車未所持、こども1人,1,32,900.0
Self Enquiry,1,Large Business,Female,3.0,4.0,Standard,3.0,5,0,5,Senior Manager,361065.0,結婚済み 自動車未所有 こども2人,0,56,540.0
Self Enquiry,1,Small Business,FEMALE,2.0,4.0,Basic,3.0,2,0,3,Executive,月収26.0万円,離婚済み/車所持/子供1人,0,41,540.0
Self Enquiry,1,Large Business,male,3.0,4.0,Standard,3.0,年に2回,0,3,Senior Manager,363225.0,"未婚、車所持,子供2人",0,52,600.0
Self Enquiry,1,Small Business,Male,2.0,4.0,Basic,3.0,2,0,3,Executive,366105.0,離婚済み 車なし こども1人,0,36,420.0
Company Invited,1,Small Business,ｆｅｍａｌｅ,2.0,4.0,Basic,3.0,年に2回,0,3,Exеcutive,309030.0,"離婚済み,車所持,子供1人",0,24,1380.0
Self Enquiry,1,Salaried,Male,2.0,4.0,Deluxe,3.0,2,0,4,Manager,月収32.0万円,"未婚,乗用車なし,こども1人",0,41,360.0
Company Invited,1,Salaried,Female,2.0,4.0,DELUXE,3.0,3,0,4,Manager,327945.0,独身	自家用車なし	子供1人,0,37,780.0
Self Enquiry,1,Salaried,Ｍａｌｅ,3.0,4.0,Basic,3.0,年に2回,0,4,Еxecutive,月収46.0万円,結婚済み、車未所持、子供2人,0,25,480.0
Self Enquiry,1,Salaried,Female,3.0,4.0,Basic,3.0,2,0,4,Executive,295755.0,離婚済み/乗用車所持／子供有り(2人),0,22,420.0
Company Invited,1,Salaried,FE MALE,2.0,4.0,Standard,3.0,2,0,4,Senior Manager,391110.0,結婚済み、車所持、子供1人,0,41,780.0
Self Enquiry,1,Salaried,Male,3.0,4.0,Standard,3.0,3,0,4,Senior Manager,423450.0,結婚済み、自動車所有、子供有り 2人,0,33,840.0
Self Enquiry,1,Salaried,Male,2.0,4.0,Deluxe,3.0,4,0,4,Manager,368835.0,結婚済み、車保有なし、こども1人,0,38,540.0
Self Enquiry,1,Salaried,Female,2.0,4.0,basic,3.0,2,0,4,Executive,343140.0,結婚済み/車未所持/こども1人,0,38,1380.0
Self Enquiry,1,Salaried,Male,2.0,4.0,Standard,3.0,3,0,3,Senior Manager,489900.0,"離婚済み、車所持,こども1人",0,41,300.0
Self Enquiry,1,Salaried,Female,2.0,4.0,Super Deluxe,4.0,3,0,3,AVP,429585.0,結婚済み 自動車所有 こども1人,0,40,1080.0
Company Invited,1,Salaried,MALE,2.0,4.0,Basic,3.0,3,0,4,Manager,325560.0,結婚済み 車所持 子供有り 1人,0,39,540.0
Self Enquiry,2,Small Business,ＦＥＭＡＬＥ,3.0,3.0,deluxe,3.0,7,0,2,Manager,286920.0,結婚済み/車所持/子供2人,0,53,840.0
Company Invited,2,Small Business,Male,3.0,3.0,Basic,3.0,2,0,2,Executive,278535.0,結婚済み、車未所持、こども2人,1,38,720.0
Self Enquiry,2,Large Business,male,3.0,3.0,Deluxe,4.0,5,0,2,Manager,354135.0,結婚済み/車未所持/子供2人,0,45,1860.0
Company Invited,2,Large Business,Male,3.0,3.0,Deluxe,3.0,2,0,2,Manager,309390.0,結婚済み、車保有、子供2人,0,28,960.0
Self Enquiry,2,Salaried,male,3.0,3.0,Deluxe,4.0,5,0,2,Manager,月収32.0万円,結婚済み/車未所持/子供2人,0,50,660.0
Self Enquiry,2,Salaried,Ｍａｌｅ,3.0,3.0,standard,3.0,5,0,1,Senior Manager,332085.0,結婚済み 自動車未所有 子供2人,0,41,1020.0
Self Enquiry,3,Small Business,female,3.0,3.0,basic,3.0,年に3回,0,2,Executive,255615.0,結婚済み、車所持、子供有り 2人,0,31,1020.0
Self Enquiry,2,Salaried,male,3.0,3.0,Deluxe,3.0,5,0,2,Manager,331905.0,結婚済み 車未所持 こども2人,0,49,840.0
Self Enquiry,2,Small Business,MALE,3.0,3.0,Deluxe,3.0,2,0,1,Manager,317310.0,結婚済み、車所持、子供2人,0,25,600.0
Self Enquiry,2,Small Business,fe male,3.0,3.0,Deluxe,3.0,6,0,2,Manager,334980.0,"未婚,車未所持,2児",0,43,480.0
Self Enquiry,2,Large Business,male,3.0,3.0,Deluxe,3.0,3,0,2,Manager,310395.0,結婚済み、乗用車なし、子供2人,0,31,2040.0
Self Enquiry,2,Salaried,Female,3.0,3.0,Deluxe,3.0,5,0,2,Manager,346125.0,結婚済み、車未所持、こども2人,0,37,660.0
Company Invited,2,Salaried,MALE,3.0,3.0,Super Deluxe,3.0,2,0,2,AVP,370965.0,独身/車未所持／子供有り(2人),0,45,540.0
Self Enquiry,2,Small Business,Male,2.0,4.0,Basic,4.0,7,0,4,Executive,271410.0,結婚済み	自動車所有	こども1人,0,35,480.0
Company Invited,2,Small Business,female,1.0,4.0,Basic,3.0,3,0,3,Executive,月収30.0万円,未婚 車所持 子供なし,0,27,1260.0
Self Enquiry,2,Small Business,ｆｅ　ｍａｌｅ,2.0,4.0,Super Deluxe,4.0,6,0,4,AVP,471120.0,独身	車未所持	子供1人,0,49,900.0
Self Enquiry,2,Salaried,FE MALE,2.0,4.0,Deluxe,3.0,年に4回,0,3,Manager,357855.0,未婚	車未所持	子供1人,0,46,1200.0
Self Enquiry,1,Small Business,Male,3.0,4.0,Basic,4.0,年に3回,1,3,Executive,315060.0,独身/乗用車なし/こども2人,1,20,720.0
Company Invited,2,Small Business,Female,2.0,4.0,Deluxe,3.0,6,1,3,Manager,月収30.0万円,結婚済み、車なし、子供1人,1,45,540.0
Self Enquiry,1,Salaried,Male,2.0,4.0,Super Deluxe,3.0,4,1,4,AVP,473325.0,結婚済み、車保有なし、こども1人,0,48,600.0
Self Enquiry,1,Small Business,male,2.0,6.0,Basic,3.0,年に3回,0,3,Executive,354105.0,結婚済み、自動車所有、子供1人,0,45,420.0
Company Invited,2,Salaried,Male,3.0,4.0,Deluxe,3.0,3,0,2,Manager,369285.0,結婚済み/自動車未所有/子供2人,0,32,1800.0
Self Enquiry,1,Large Business,male,3.0,3.0,BASIC,3.0,年に2回,0,2,Executive,258930.0,未婚	車未所持	こども2人,0,25,540.0
Self Enquiry,2,Salaried,Male,3.0,4.0,Basic,3.0,5,1,1,Executive,342900.0,離婚済み 乗用車なし こども2人,1,31,960.0
Company Invited,1,Salaried,Female,3.0,3.0,Basic,3.0,3,0,2,Executive,315465.0,結婚済み/自動車未所有/こども2人,0,37,960.0
Self Enquiry,1,Salaried,Male,3.0,3.0,BASIC,3.0,3,0,2,Executive,339435.0,"離婚済み,乗用車所持,こども2人",1,33,780.0
Self Enquiry,2,Salaried,Male,3.0,4.0,Deluxe,3.0,2,0,2,Manager,323820.0,"結婚済み、車未所持,こども2人",0,39,780.0
Self Enquiry,1,Small Business,ＦＥＭＡＬＥ,1.0,4.0,Basic,3.0,2,0,4,Executive,255270.0,"離婚済み,車所持,子供なし",0,30,780.0
Self Enquiry,1,Small Business,Male,2.0,4.0,Basic,3.0,5,0,4,Executive,月収30.0万円,結婚済み 自動車未所有 子供有り(1人),0,37,1320.0
Company Invited,1,Salaried,MALE,2.0,4.0,Deluxe,3.0,7,0,4,Manager,345240.0,"未婚,車未所持,子供有り(1人)",0,36,1560.0
Company Invited,1,Salaried,Female,1.0,3.0,Super Deluxe,3.0,1,1,2,AVP,526770.0,独身、自家用車あり、無子,0,50,480.0
Company Invited,1,Salaried,Male,3.0,3.0,Basic,3.0,2,0,2,Executive,264315.0,離婚済み、自家用車なし、子供2人,0,22,840.0
Company Invited,1,Salaried,Female,2.0,6.0,Standard,3.0,4,0,4,Senior Manager,501375.0,結婚済み、自動車所有、子供有り 1人,1,40,1740.0
Self Enquiry,1,Salaried,Female,2.0,3.0,Super Deluxe,4.0,5,0,3,AVP,565035.0,結婚済み／車あり／不明,0,50,1140.0
Company Invited,2,Small Business,MALE,3.0,5.0,Basic,4.0,年に1回,0,4,Executive,302100.0,"結婚済み、車所持,子供2人",1,31,1020.0
Self Enquiry,3,Small Business,Female,2.0,5.0,Basic,3.0,3,0,3,Executive,306240.0,独身 車所持 子供1人,0,20,780.0
Company Invited,2,Small Business,FEMALE,2.0,5.0,Basic,3.0,2,0,4,Executive,262605.0,独身、車所持、子供1人,1,21,1500.0
Company Invited,2,Small Business,female,2.0,5.0,Deluxe,3.0,1,0,4,Μanager,333630.0,結婚済み/車未所持/こども1人,0,41,1920.0
Self Enquiry,2,Small Business,Female,2.0,5.0,BASIC,3.0,4,0,3,Executive,316545.0,独身、車保有、子供1人,0,37,420.0
Self Enquiry,2,Large Business,female,2.0,5.0,Basic,3.0,5,0,4,Executive,321120.0,結婚済み 車所持 子供1人,0,37,360.0
Self Enquiry,2,Salaried,Male,1.0,3.0,King,3.0,2,0,2,VP,530895.0,結婚済み／車所持／子供無し,0,50,840.0
Self Enquiry,1,Salaried,Male,1.0,3.0,Super Deluxe,3.0,1,0,2,АVP,560550.0,離婚済み　車所持　子供無し,0,51,960.0
Company Invited,2,Small Business,MALE,2.0,5.0,Standard,3.0,年に2回,1,2,Senior Manager,435585.0,独身、車未所持、こども1人,0,40,480.0
Company Invited,3,Salaried,female,2.0,5.0,STANDARD,4.0,2,0,3,Senior Manager,470970.0,結婚済み、車所持、子供1人,0,37,420.0
Company Invited,2,Salaried,Ｍａｌｅ,2.0,5.0,Deluxe,3.0,3,0,4,Manager,323160.0,結婚済み/自動車未所有/子供1人,0,33,1380.0
Company Invited,1,Small Business,fe male,2.0,5.0,Standard,3.0,2,0,2,Senior Manager,441165.0,未婚 車未所持 こども1人,0,36,780.0
Self Enquiry,1,Small Business,Male,3.0,5.0,Deluxe,3.0,3,0,3,Manager,月収31.0万円,結婚済み、乗用車所持、こども2人,0,38,720.0
Company Invited,1,Small Business,Male,3.0,5.0,Basic,3.0,3,0,3,Executive,343230.0,結婚済み/車保有/子供2人,0,20,960.0
Self Enquiry,1,Small Business,Male,2.0,5.0,Basıc,3.0,4,0,3,Executive,307905.0,離婚済み、自動車未所有、1児,0,39,420.0
Self Enquiry,1,Small Business,Male,2.0,5.0,Deluxe,4.0,7,0,4,Manager,348840.0,未婚 自動車未所有 子供1人,0,39,1500.0
Self Enquiry,1,Small Business,Ｍａｌｅ,3.0,5.0,Basic,4.0,7,0,5,Executive,月収30.0万円,離婚済み/自動車所有/子供2人,1,19,480.0
Company Invited,3,Small Business,FEMALE,3.0,5.0,Standard,3.0,2,0,4,Senior Manager,323160.0,離婚済み 車所持 2児,0,35,1020.0
Self Enquiry,1,Salaried,Male,3.0,5.0,Basic,3.0,半年に1回,0,3,Executive,401580.0,結婚済み 車所持 子供2人,0,29,420.0
Self Enquiry,1,Salaried,Male,3.0,5.0,Basic,3.0,3,0,5,Executive,357120.0,"結婚済み,自家用車あり,子供2人",0,26,480.0
Company Invited,1,Salaried,female,2.0,5.0,Super Deluxe,3.0,2,0,3,AVP,547680.0,結婚済み	車所持	こども1人,0,40,540.0
Self Enquiry,1,Salaried,ＭＡＬＥ,2.0,5.0,Basic,3.0,3,0,4,Executive,298635.0,結婚済み、車所持、子供1人,0,27,480.0
Company Invited,1,Salaried,Ｍａｌｅ,3.0,5.0,Basic,3.0,7,0,3,Executive,267495.0,独身 自動車所有 子供2人,0,30,420.0
Company Invited,1,Salaried,MALE,2.0,5.0,Basic,3.0,3,0,4,Executive,月収31.0万円,離婚済み 車所持 こども1人,0,30,1320.0
Self Enquiry,1,Salaried,Female,2.0,5.0,Deluxe,3.0,1,0,4,Manager,月収30.0万円,結婚済み、自動車所有、こども1人,0,55,1920.0
Self Enquiry,1,Salaried,Ｆｅｍａｌｅ,3.0,5.0,Delu×e,4.0,6,0,5,Manager,月収55.0万円,離婚済み	車所持	子供2人,0,51,1080.0
Company Invited,1,Salaried,male,2.0,5.0,Deluxe,3.0,1,0,5,Manager,299370.0,結婚済み、車所持、子供1人,0,30,780.0
Self Enquiry,1,Small Business,Male,3.0,6.0,Basic,3.0,5,0,4,Executive,月収31.0万円,"離婚済み,乗用車なし,子供2人",0,40,540.0
Company Invited,2,Small Business,Female,1.0,5.0,Basic,3.0,3,0,3,Executive,256455.0,独身　自動車未所有 子供無し,0,32,540.0
Company Invited,2,Small Business,Male,1.0,6.0,BASIC,3.0,5,0,2,Executive,301215.0,独身 車所持 子供なし,0,51,1020.0
Self Enquiry,1,Salaried,female,3.0,600.0,Basic,3.0,5,0,3,Executive,312480.0,独身／車所持／子供2人,0,38,480.0
Self Enquiry,2,Salaried,female,2.0,5.0,Standard,4.0,3,1,3,Senior Manager,412260.0,独身、車所持、子供1人,0,18,540.0
Self Enquiry,1,Small Business,male,2.0,5.0,Deluxe,3.0,3,0,3,Manager,319740.0,結婚済み	車未所持	子供1人,0,45,600.0
Self Enquiry,2,Small Business,Female,3.0,5.0,DELUXE,4.0,3,0,1,Manager,342060.0,離婚済み、車なし、子供2人,0,45,540.0
Company Invited,2,Salaried,Male,2.0,6.0,Standard,3.0,5,0,3,Senior Manager,349260.0,結婚済み/車未所持／1児,1,54,540.0
Self Enquiry,1,Salaried,Male,3.0,5.0,Super Deluxe,3.0,5,0,4,AVP,545625.0,"結婚済み,自家用車なし,不明",0,54,1680.0
Company Invited,1,Small Business,MALE,3.0,3.0,super deluxe,3.0,2,0,4,AVP,343140.0,離婚済み、車所持、子供無し,0,38,480.0
Company Invited,1,Large Business,Male,2.0,4.0,basic,3.0,7,0,2,Executive,月収50.0万円,独身、自動車所有、子供無し,0,49,420.0
Self Enquiry,2,Salaried,Male,3.0,4.0,Kıng,3.0,3.0,0,2,VP,459615.0,結婚済み/車保有/子供有り(2人),0,46,660.0
Self Enquiry,1,Small Business,Male,3.0,4.0,Basic,3.0,3,0,2,Executive,323670.0,独身 自動車未所有 子供2人,1,37,600.0
Self Enquiry,3,Small Business,Ｆｅ　Ｍａｌｅ,2.0,2.0,STANDARD,4.0,7,0,2,Senior Manager,月収44.0万円,離婚済み、車所持、子供1人,0,40,660.0
Company Invited,2,Small Business,male,2.0,3.0,Deluxe,3.0,3,0,2,Manager,月収30.0万円,結婚済み、車未所持、子供1人,0,41,780.0
Self Enquiry,2,Small Business,female,2.0,3.0,Deluxe,3.0,2,0,2,Manager,339825.0,結婚済み、車未所持、子供1人,0,28,2040.0
Self Enquiry,2,Small Business,FEMALE,2.0,3.0,STANDARD,3.0,5,0,2,Senior Manager,341640.0,結婚済み/車所持/子供1人,0,54,2040.0
Self Enquiry,1,Large Business,Male,1.0,4.0,BASIC,4.0,1,0,4,Executive,261960.0,独身　車保有なし　子供ゼロ,1,37,900.0
Company Invited,2,Large Business,Female,1.0,4.0,Standard,4.0,2,0,3,Senior Manager,366465.0,結婚済み、自家用車あり、子供無し,0,49,480.0
Company Invited,1,Small Business,Female,1.0,4.0,Basic,4.0,1,1,3,Executive,274050.0,独身	自動車所有	子供無し,1,32,540.0
Self Enquiry,1,Small Business,Female,2.0,1.0,Basic,3.0,年に2回,0,1,Executive,267360.0,結婚済み、自動車所有、1児,0,38,480.0
Company Invited,1,Small Business,male,2.0,3.0,Basic,3.0,2,0,2,Executive,260910.0,結婚済み／車未所持／子供有り 1人,0,38,540.0
Company Invited,1,Salaried,Female,1.0,4.0,Super Deluxe,5.0,年に5回,0,4,AVP,488490.0,独身/自家用車あり／子供なし,0,55,840.0
Company Invited,2,Salaried,Male,1.0,4.0,Standard,4.0,2,0,3,Senior Manager,347490.0,未婚、自家用車なし、無子,0,33,1320.0
Self Enquiry,1,Salaried,male,2.0,2.0,Deluxe,3.0,3,1,1,Manager,月収40.0万円,未婚 自家用車なし 子供1人,0,50,660.0
Company Invited,1,Small Business,Ｆｅ　Ｍａｌｅ,2.0,2.0,Deluxe,3.0,3,1,2,Manager,364365.0,"未婚,車未所持,子供1人",0,45,1920.0
Company Invited,2,Small Business,Female,1.0,4.0,Basic,3.0,1,0,2,Executive,252525.0,"独身、自動車未所有,子供ゼロ",1,25,1920.0
Self Enquiry,2,Salaried,Male,2.0,4.0,Deluxe,3.0,5,0,2,Manager,356520.0,離婚済み、車未所持、子供1人,0,36,660.0
Company Invited,2,Small Business,Male,1.0,4.0,Basic,3.0,2,0,2,Executive,242280.0,"独身,乗用車なし,子供無し",1,48,420.0
Self Enquiry,1,Salaried,Ｍａｌｅ,2.0,4.0,Deluxe,3.0,2,0,2,Manager,344520.0,離婚済み、自動車所有、子供1人,0,30,1080.0
Company Invited,1,Small Business,Male,1.0,4.0,Basic,3.0,7,0,2,Executive,月収30.0万円,独身/車所持/子供無し,0,25,840.0
Self Enquiry,2,Small Business,Male,2.0,3.0,Basic,3.0,2,0,3,Executive,259050.0,結婚済み 乗用車なし 子供1人,0,28,540.0
Company Invited,2,Small Business,female,2.0,3.0,Deluxe,3.0,3,0,4,Manager,293505.0,独身 車所持 子供有り 1人,0,34,780.0
Company Invited,2,Small Business,male,2.0,4.0,Basic,3.0,1,0,4,Executive,257865.0,結婚済み	車所持	子供1人,1,22,1020.0
Self Enquiry,2,Small Business,Ｆｅｍａｌｅ,2.0,3.0,Deluxe,3.0,4,0,4,Manager,326325.0,未婚、自動車所有、子供1人,0,41,420.0
Company Invited,2,Small Business,Ｍａｌｅ,2.0,4.0,King,3.0,年に6回,0,2,VP,月収50.0万円,結婚済み　車あり　子供1人,0,51,420.0
Company Invited,2,Small Business,Female,1.0,3.0,DELUXE,4.0,1,0,4,Manager,366045.0,離婚済み、自家用車あり、非育児家庭,0,51,1380.0
Company Invited,3,Small Business,Male,1.0,3.0,SUPER DELUXE,4.0,年に2回,0,4,Senior Manager,449235.0,独身、車なし、子供ゼロ,0,53,840.0
Company Invited,3,Small Business,male,1.0,3.0,Super Deluxe,4.0,年に1回,0,4,AVP,月収40.0万円,結婚済み/車所持/無子,0,57,1020.0
Self Enquiry,2,Large Business,Female,1.0,3.0,Super Deluxe,4.0,1,0,3,AVP,月収30.0万円,離婚済み、乗用車所持、子供無し,0,36,900.0
Company Invited,2,Small Business,female,1.0,3.0,Standard,4.0,1,0,4,Senior Manager,月収41.0万円,離婚済み 車所持 子供なし,0,37,780.0
Self Enquiry,2,Small Business,Male,1.0,3.0,King,5.0,2,0,3,VP,月収30.0万円,離婚済み、乗用車所持、子供ゼロ,0,38,480.0
Company Invited,2,Small Business,Ｆｅｍａｌｅ,1.0,3.0,Standard,4.0,2,0,3,Senior Manager,352830.0,離婚済み、車保有、子供なし,0,29,900.0
Self Enquiry,2,Small Business,female,1.0,3.0,Basic,4.0,5,0,3,Executive,350955.0,離婚済み、車所持、子供無し,0,49,900.0
Company Invited,2,Large Business,Male,1.0,3.0,BASIC,4.0,1,0,4,Executive,252480.0,"離婚済み,自家用車なし,無子",1,37,1080.0
Company Invited,2,Small Business,Fe Male,1.0,4.0,Standard,4.0,4,0,4,Senior Manager,月収40.0万円,離婚済み、車未所持、子供なし,0,55,540.0
Self Enquiry,1,Small Business,Female,1.0,3.0,Basiϲ,4.0,1,0,4,Executive,月収26.0万円,独身	車あり	無子,0,43,1440.0
Self Enquiry,2,Small Business,Male,1.0,3.0,Basic,4.0,2,0,4,Executive,261195.0,結婚済み/自動車所有/子供無し,1,45,1020.0
Self Enquiry,2,Small Business,Female,2.0,3.0,deluxe,4.0,2,0,4,Manager,355785.0,結婚済み　車所持　子供の数不明,0,46,900.0
Self Enquiry,3,Large Business,MALE,1.0,3.0,standard,4.0,2,0,4,Senior Manager,月収40.0万円,"結婚済み,車未所持,子供なし",0,27,300.0
Self Enquiry,3,Small Business,male,1.0,3.0,King,4.0,1,0,5,Senior Manager,月収37.0万円,結婚済み	車所持	子供なし,0,60,1020.0
Company Invited,2,Small Business,male,1.0,3.0,Basic,4.0,年に2回,0,4,Executive,268215.0,"結婚済み,車未所持,子供無し",0,52,660.0
Company Invited,1,Small Business,Ｍａｌｅ,1.0,3.0,Super Deluxe,5.0,4,0,4,ΑVP,292830.0,離婚済み、自動車所有、子供なし,0,55,660.0
Company Invited,1,Large Business,FE MALE,1.0,3.0,Standard,4.0,1,0,4,Senior Manager,月収40.0万円,未婚、車所持、子供なし,0,48,720.0
Self Enquiry,1,Large Business,Ｍａｌｅ,1.0,3.0,Basic,4.0,2,0,4,Еxecutivе,267045.0,独身 車未所持 子供なし,1,24,420.0
Company Invited,1,Small Business,Female,1.0,3.0,Basic,4.0,半年に1回,0,3,Executive,261045.0,結婚済み 乗用車所持 子供なし,1,30,900.0
Company Invited,2,Salaried,male,2.0,2.0,Deluxe,3.0,2,0,4,Manager,344160.0,未婚/車未所持/子供1人,0,34,1020.0
Company Invited,2,Salaried,Male,2.0,2.0,Deluxe,3.0,年に3回,0,4,Manager,358860.0,"未婚、車所持,こども1人",0,37,1500.0
Company Invited,1,Small Business,male,1.0,3.0,Basic,4.0,年に1回,1,3,Executive,282600.0,離婚済み/車未所持/子供なし,1,38,1680.0
Company Invited,1,Large Business,Female,1.0,3.0,Basic,4.0,4,1,3,Executive,258960.0,離婚済み 自家用車あり 無子,1,33,480.0
Company Invited,1,Large Business,Female,1.0,3.0,Standard,4.0,2,1,3,Senior Manager,444405.0,結婚済み 自動車所有 子供なし,0,50,960.0
Self Enquiry,1,Large Business,Ｆｅｍａｌｅ,1.0,3.0,Basic,4.0,2,1,4,Executive,月収28.0万円,離婚済み 自動車所有 子供なし,1,38,1080.0
Self Enquiry,2,Small Business,Male,2.0,2.0,Deluxe,3.0,2,1,3,Manager,月収36.0万円,結婚済み 自家用車なし こども1人,0,41,420.0
Company Invited,2,Salaried,Female,1.0,3.0,Standard,4.0,2,0,4,Senior Manager,月収30.0万円,離婚済み、自動車所有、子供無し,0,31,840.0
